,Cuisine,address,name,postalCode,Tag,ratings
372,All,1501 Newport Blvd,Carl's Jr.,92627,Food,4
373,All,1520 E Katella Ave,Carl's Jr.,92867,Food,4
374,All,1449 E F St,Carl's Jr.,95361,Food,4
375,All,13000 Oak Knoll Dr,Filippi's Pizza Grotto,92064,Food,3
376,All,2860 S Bristol St,Round Table Pizza,92704,Food,3
377,All,1040 S Raymond Ave,The Sandwich Place,92831,Food,3
378,All,5754 Santa Teresa Blvd,Little Caesar's Pizza,95123,Food,4
379,All,2498 S Figueroa St,Jacks N Joe,90007,Food,4
380,All,4543 E Kings Canyon Rd,Domino's Pizza,93702,Food,3
381,All,2581 E Vineyard Ave,Domino's Pizza,93036,Food,4
382,All,548 S State College Blvd,Domino's Pizza,92806,Food,4
383,All,469 Magnolia Ave,Domino's Pizza,92879,Food,3
384,All,17200 Saticoy St,Round Table Pizza,91406,Food,4
385,All,1648 Decoto Rd,Wingstop,94587,Food,3
386,All,1838 E Avenue J,Wingstop,93535,Food,4
387,All,522 E Vine Ave,Flame Broiler,91790,Food,3
388,All,20649 Rustic Dr,iSushi,94546,Food,3
389,All,824 W Lacey Blvd,Arby's,93230,Food,4
390,All,528 N Montebello Blvd,Ani's Chicken,90640,Food,3
391,All,6411 Sepulveda Blvd,Subway,91411,Food,4
392,All,6800 Balboa Blvd,Subway,91406,Food,4
393,All,8735 Sunland Blvd,Subway,91352,Food,4
394,All,3632 Rosemead Blvd,Subway,91770,Food,4
395,All,41995 State Highway 74,Subway,92544,Food,4
396,All,3322 Mt Diablo Blvd,Subway,94549,Food,3
397,All,396 Park St,Subway,94556,Food,3
398,All,124 Lomas Santa Fe Dr,Subway,92075,Food,3
399,All,1605 Douglas Blvd,Subway,95661,Food,3
400,All,805 E Avenue K,Subway,93535,Food,4
401,All,3250 G St,Subway,95340,Food,3
402,All,44764 Valley Central Way,Subway,93536,Food,4
403,All,1201 E La Habra Blvd,Subway,90631,Food,4
404,All,1107 S Hacienda Blvd,Subway,91745,Food,3
405,All,371 E Whittier Blvd,Subway,90631,Food,4
406,All,3446 Foothill Blvd,Subway,91214,Food,3
407,All,701 N Grand Ave,Farmer Boys,91724,Food,4
408,All,12240 Pigeon Pass Rd,Farmer Boys,92557,Food,4
409,All,2790 N Garey Ave,Farmer Boys,91767,Food,4
410,All,1766 Kendall Dr,Farmer Boys,92407,Food,3
411,All,1190 E Francis St,Farmer Boys,91761,Food,3
412,All,1197 E Prosperity Ave,Farmer Boys,93274,Food,3
413,All,2955 El Camino Real,Rubio's,92782,Food,3
414,All,13525 Telegraph Rd,Pizza Hut,90605,Food,3
415,All,715 N Euclid Ave,Pizza Hut,91762,Food,3
416,All,3109 W Rosecrans Ave,Pizza Hut,90250,Food,4
417,All,3255 Tweedy Blvd,Pizza Hut,90280,Food,4
418,All,11550 Whittier Blvd,Pizza Hut,90601,Food,3
419,All,1515 W Beverly Blvd,Pizza Hut,90640,Food,3
420,All,6312 W 89th St,Pizza Hut,90045,Food,4
421,All,3400 E 1st St,Pizza Hut,90063,Food,3
422,All,4356 Leimert Blvd,Pizza Hut,90008,Food,3
423,All,1014 W Martin Luther King Jr Blvd,Pizza Hut,90037,Food,3
424,All,1411 Lincoln Blvd,Pizza Hut,90291,Food,3
425,All,1163 Huntington Dr,Pizza Hut,91010,Food,4
426,All,1675 N Perris Blvd,Pizza Hut,92571,Food,3
427,All,3601 Jamboree Rd,Pizza Hut,92660,Food,3
428,All,25098 Marguerite Pkwy,Pizza Hut,92692,Food,4
429,All,261 E 17th St,Pizza Hut,92627,Food,4
430,All,17342 Beach Blvd,Pizza Hut,92647,Food,3
431,All,521 W Chapman Ave,Pizza Hut,92802,Food,4
432,All,396 W Chapman Ave,Pizza Hut,92866,Food,3
433,All,6471 Ball Rd,Pizza Hut,90630,Food,3
434,All,1751 N 1st St,Subway,95112,Food,3
435,All,12812 Rancho Penasquitos Blvd,Subway,92129,Food,4
436,All,3522 Tweedy Blvd,SUBWAY®,90280,Food,4
437,All,1336 Huntington Dr,Little Caesars,91010,Food,3
